"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.245364618E1,6.508416917E1,2.568331393E1,3.685516159E1,1.259999990E0,1.591999969E2,3.790092468E0,2.500000000E0
4.345306201E1,6.508415719E1,2.568332283E1,3.710473632E1,1.320000052E0,1.603000031E2,3.790092468E0,2.500000000E0
4.445300024E1,6.508414414E1,2.568332948E1,3.693365710E1,1.320000052E0,1.615000000E2,3.790092468E0,2.500000000E0
4.545303863E1,6.508413079E1,2.568333989E1,3.669769736E1,1.360000014E0,1.591000061E2,3.790092468E0,2.500000000E0
4.645371826E1,6.508411988E1,2.568335593E1,3.643402681E1,1.350000024E0,1.513000031E2,3.790092468E0,2.500000000E0
4.745313571E1,6.508411090E1,2.568337304E1,3.649335384E1,1.330000043E0,1.426000061E2,3.790092468E0,2.500000000E0
4.845368212E1,6.508410266E1,2.568339044E1,3.640155765E1,1.299999952E0,1.406999969E2,3.790092468E0,2.500000000E0
4.945319774E1,6.508409366E1,2.568340842E1,3.629236657E1,1.320000052E0,1.443999939E2,3.790092468E0,2.500000000E0
5.045316290E1,6.508408418E1,2.568342697E1,3.622571706E1,1.370000005E0,1.451999969E2,3.790092468E0,2.500000000E0
5.145287712E1,6.508407456E1,2.568344452E1,3.617914820E1,1.340000033E0,1.453999939E2,3.790092468E0,2.500000000E0
5.245286936E1,6.508406529E1,2.568346342E1,3.607960067E1,1.330000043E0,1.411999969E2,3.790092468E0,2.500000000E0
5.345340269E1,6.508405617E1,2.568348147E1,3.627839300E1,1.340000033E0,1.408999939E2,3.790092468E0,2.500000000E0
5.445319232E1,6.508404604E1,2.568349854E1,3.625404107E1,1.389999986E0,1.461999969E2,3.790092468E0,2.500000000E0
5.545353279E1,6.508403593E1,2.568351520E1,3.616450362E1,1.370000005E0,1.470000000E2,3.790092468E0,2.500000000E0
5.645287764E1,6.508402633E1,2.568353010E1,3.634425327E1,1.340000033E0,1.481000061E2,3.790092468E0,2.500000000E0
5.745355852E1,6.508401633E1,2.568354819E1,3.627150038E1,1.429999948E0,1.441999969E2,3.790092468E0,2.500000000E0
5.845287633E1,6.508400722E1,2.568356682E1,3.633174287E1,1.409999967E0,1.396000061E2,3.790092468E0,2.500000000E0
5.945356993E1,6.508399961E1,2.568358719E1,3.637996102E1,1.379999995E0,1.308999939E2,3.790092468E0,2.500000000E0
6.045349992E1,6.508399219E1,2.568360889E1,3.631923130E1,1.350000024E0,1.265999985E2,3.790092468E0,2.500000000E0
6.145384394E1,6.508398645E1,2.568363349E1,3.654036140E1,1.399999976E0,1.208000031E2,3.790092468E0,2.500000000E0
6.245340388E1,6.508398075E1,2.568365951E1,3.654036104E1,1.440000057E0,1.204000015E2,3.790092468E0,2.500000000E0
6.345315414E1,6.508397538E1,2.568368556E1,3.650636403E1,1.370000005E0,1.175000000E2,3.790092468E0,2.500000000E0
6.445387581E1,6.508397093E1,2.568371235E1,3.663935897E1,1.330000043E0,1.146999969E2,3.790092468E0,2.500000000E0
6.545381133E1,6.508396666E1,2.568373827E1,3.680006388E1,1.379999995E0,1.144000015E2,3.790092468E0,2.500000000E0
6.645335664E1,6.508396228E1,2.568376658E1,3.676685999E1,1.389999986E0,1.114000015E2,3.790092468E0,2.500000000E0
6.745337872E1,6.508395946E1,2.568379488E1,3.681013282E1,1.340000033E0,1.069000015E2,3.790092468E0,2.500000000E0
6.845311398E1,6.508395854E1,2.568382372E1,3.684534858E1,1.330000043E0,9.640000153E1,3.790092468E0,2.500000000E0
6.945354003E1,6.508395779E1,2.568385471E1,3.684711691E1,1.429999948E0,9.309999847E1,3.790092468E0,2.500000000E0
7.045372216E1,6.508395747E1,2.568388518E1,3.681061614E1,1.409999967E0,9.150000000E1,3.790092468E0,2.500000000E0
7.145351518E1,6.508395734E1,2.568391544E1,3.683228185E1,1.350000024E0,9.109999847E1,3.790092468E0,2.500000000E0
7.245289721E1,6.508395643E1,2.568394595E1,3.701086909E1,1.370000005E0,9.609999847E1,3.790092468E0,2.500000000E0
7.345337294E1,6.508395741E1,2.568397589E1,3.710974405E1,1.399999976E0,9.050000000E1,3.790092468E0,2.500000000E0
7.445362200E1,6.508395935E1,2.568400570E1,3.727368231E1,1.350000024E0,8.659999847E1,3.790092468E0,2.500000000E0
7.545318643E1,6.508396181E1,2.568403550E1,3.745696860E1,1.360000014E0,8.319999695E1,3.790092468E0,2.500000000E0
7.645304664E1,6.508396353E1,2.568406732E1,3.756737894E1,1.419999957E0,8.490000153E1,3.790092468E0,2.500000000E0
7.745382674E1,6.508396583E1,2.568409900E1,3.750249621E1,1.440000057E0,8.080000305E1,3.790092468E0,2.500000000E0
7.845341023E1,6.508396814E1,2.568413131E1,3.755296988E1,1.409999967E0,8.159999847E1,3.790092468E0,2.500000000E0
7.945381492E1,6.508397163E1,2.568415933E1,3.783879512E1,1.389999986E0,7.469999695E1,3.790092468E0,2.500000000E0
8.045337257E1,6.508397748E1,2.568418595E1,3.818254232E1,1.399999976E0,6.609999847E1,3.790092468E0,2.500000000E0
8.145309841E1,6.508398448E1,2.568421056E1,3.811826938E1,1.379999995E0,5.840000153E1,3.790092468E0,2.500000000E0
8.245318997E1,6.508399288E1,2.568423326E1,3.822648161E1,1.379999995E0,5.120000076E1,3.790092468E0,2.500000000E0
8.345307590E1,6.508400254E1,2.568425489E1,3.835825322E1,1.409999967E0,4.490000153E1,3.790092468E0,2.500000000E0
8.445331580E1,6.508401162E1,2.568427573E1,3.847293515E1,1.429999948E0,4.709999847E1,3.790092468E0,2.500000000E0
